URLID,Frame,Time
03-anomaly,000000000000.jpg,0
03-anomaly,000000000001.jpg,1
03-anomaly,000000000002.jpg,2
03-anomaly,000000000003.jpg,3
03-anomaly,000000000004.jpg,4
03-anomaly,000000000005.jpg,5
03-anomaly,000000000006.jpg,6
03-anomaly,000000000007.jpg,7
03-anomaly,000000000008.jpg,8
03-anomaly,000000000009.jpg,9
03-anomaly,000000000010.jpg,10
03-anomaly,000000000011.jpg,11
03-anomaly,000000000012.jpg,12
03-anomaly,000000000013.jpg,13
03-anomaly,000000000014.jpg,14
03-anomaly,000000000015.jpg,15
03-anomaly,000000000016.jpg,16
03-anomaly,000000000017.jpg,17
03-anomaly,000000000018.jpg,18
03-anomaly,000000000019.jpg,19
03-anomaly,000000000020.jpg,20
03-anomaly,000000000021.jpg,21
03-anomaly,000000000022.jpg,22
03-anomaly,000000000023.jpg,23
03-anomaly,000000000024.jpg,24
03-anomaly,000000000025.jpg,25
03-anomaly,000000000026.jpg,26
03-anomaly,000000000027.jpg,27
03-anomaly,000000000028.jpg,28
03-anomaly,000000000029.jpg,29
03-anomaly,000000000030.jpg,30
03-anomaly,000000000031.jpg,31
03-anomaly,000000000032.jpg,32
03-anomaly,000000000033.jpg,33
03-anomaly,000000000034.jpg,34
03-anomaly,000000000035.jpg,35
03-anomaly,000000000036.jpg,36
03-anomaly,000000000037.jpg,37
03-anomaly,000000000038.jpg,38
03-anomaly,000000000039.jpg,39
03-anomaly,000000000040.jpg,40
03-anomaly,000000000041.jpg,41
03-anomaly,000000000042.jpg,42
03-anomaly,000000000043.jpg,43
03-anomaly,000000000044.jpg,44
03-anomaly,000000000045.jpg,45
03-anomaly,000000000046.jpg,46
03-anomaly,000000000047.jpg,47
03-anomaly,000000000048.jpg,48
03-anomaly,000000000049.jpg,49
03-anomaly,000000000050.jpg,50
03-anomaly,000000000051.jpg,51
03-anomaly,000000000052.jpg,52
03-anomaly,000000000053.jpg,53
03-anomaly,000000000054.jpg,54
03-anomaly,000000000055.jpg,55
03-anomaly,000000000056.jpg,56
03-anomaly,000000000057.jpg,57
03-anomaly,000000000058.jpg,58
03-anomaly,000000000059.jpg,59
03-anomaly,000000000060.jpg,60
03-anomaly,000000000061.jpg,61
03-anomaly,000000000062.jpg,62
03-anomaly,000000000063.jpg,63
03-anomaly,000000000064.jpg,64
03-anomaly,000000000065.jpg,65
03-anomaly,000000000066.jpg,66
03-anomaly,000000000067.jpg,67
03-anomaly,000000000068.jpg,68
03-anomaly,000000000069.jpg,69
03-anomaly,000000000070.jpg,70
03-anomaly,000000000071.jpg,71
03-anomaly,000000000072.jpg,72
03-anomaly,000000000073.jpg,73
03-anomaly,000000000074.jpg,74
03-anomaly,000000000075.jpg,75
03-anomaly,000000000076.jpg,76
03-anomaly,000000000077.jpg,77
03-anomaly,000000000078.jpg,78
03-anomaly,000000000079.jpg,79
03-anomaly,000000000080.jpg,80
03-anomaly,000000000081.jpg,81
03-anomaly,000000000082.jpg,82
03-anomaly,000000000083.jpg,83
03-anomaly,000000000084.jpg,84
03-anomaly,000000000085.jpg,85
03-anomaly,000000000086.jpg,86
03-anomaly,000000000087.jpg,87
03-anomaly,000000000088.jpg,88
03-anomaly,000000000089.jpg,89
03-anomaly,000000000090.jpg,90
03-anomaly,000000000091.jpg,91
03-anomaly,000000000092.jpg,92
03-anomaly,000000000093.jpg,93
03-anomaly,000000000094.jpg,94
03-anomaly,000000000095.jpg,95
03-anomaly,000000000096.jpg,96
