URLID,URL,TagID,Tag,Start,End,Time,State
03-anomaly,03-anomaly,8,background,0,0,2,1
03-anomaly,03-anomaly,8,background,1,1,2,1
03-anomaly,03-anomaly,8,background,2,2,2,1
03-anomaly,03-anomaly,8,background,3,3,2,1
03-anomaly,03-anomaly,8,background,4,4,2,1
03-anomaly,03-anomaly,8,background,5,5,2,1
03-anomaly,03-anomaly,8,background,6,6,2,1
03-anomaly,03-anomaly,8,background,7,7,2,1
03-anomaly,03-anomaly,8,background,8,8,2,1
03-anomaly,03-anomaly,8,background,9,9,2,1
03-anomaly,03-anomaly,8,background,10,10,2,1
03-anomaly,03-anomaly,8,background,11,11,2,1
03-anomaly,03-anomaly,8,background,12,12,2,1
03-anomaly,03-anomaly,8,background,13,13,2,1
03-anomaly,03-anomaly,8,background,14,14,2,1
03-anomaly,03-anomaly,8,background,15,15,2,1
03-anomaly,03-anomaly,8,background,16,16,2,1
03-anomaly,03-anomaly,8,background,17,17,2,1
03-anomaly,03-anomaly,8,background,18,18,2,1
03-anomaly,03-anomaly,8,background,19,19,2,1
03-anomaly,03-anomaly,8,background,20,20,2,1
03-anomaly,03-anomaly,8,background,21,21,2,1
03-anomaly,03-anomaly,8,background,22,22,2,1
03-anomaly,03-anomaly,8,background,23,23,2,1
03-anomaly,03-anomaly,8,background,24,24,2,1
03-anomaly,03-anomaly,8,background,25,25,2,1
03-anomaly,03-anomaly,8,background,26,26,2,1
03-anomaly,03-anomaly,8,background,27,27,2,1
03-anomaly,03-anomaly,8,background,28,28,2,1
03-anomaly,03-anomaly,8,background,29,29,2,1
03-anomaly,03-anomaly,8,background,30,30,2,1
03-anomaly,03-anomaly,8,background,31,31,2,1
03-anomaly,03-anomaly,8,background,32,32,2,1
03-anomaly,03-anomaly,4,bike,33,33,2,1
03-anomaly,03-anomaly,4,bike,34,34,2,1
03-anomaly,03-anomaly,4,bike,35,35,2,1
03-anomaly,03-anomaly,4,bike,36,36,2,1
03-anomaly,03-anomaly,4,bike,37,37,2,1
03-anomaly,03-anomaly,4,bike,38,38,2,1
03-anomaly,03-anomaly,4,bike,39,39,2,1
03-anomaly,03-anomaly,4,bike,40,40,2,1
03-anomaly,03-anomaly,4,bike,41,41,2,1
03-anomaly,03-anomaly,4,bike,42,42,2,1
03-anomaly,03-anomaly,4,bike,43,43,2,1
03-anomaly,03-anomaly,4,bike,44,44,2,1
03-anomaly,03-anomaly,4,bike,45,45,2,1
03-anomaly,03-anomaly,4,bike,46,46,2,1
03-anomaly,03-anomaly,4,bike,47,47,2,1
03-anomaly,03-anomaly,4,bike,48,48,2,1
03-anomaly,03-anomaly,4,bike,49,49,2,1
03-anomaly,03-anomaly,4,bike,50,50,2,1
03-anomaly,03-anomaly,4,bike,51,51,2,1
03-anomaly,03-anomaly,4,bike,52,52,2,1
03-anomaly,03-anomaly,8,background,53,53,2,1
03-anomaly,03-anomaly,8,background,54,54,2,1
03-anomaly,03-anomaly,8,background,55,55,2,1
03-anomaly,03-anomaly,8,background,56,56,2,1
03-anomaly,03-anomaly,8,background,57,57,2,1
03-anomaly,03-anomaly,8,background,58,58,2,1
03-anomaly,03-anomaly,8,background,59,59,2,1
03-anomaly,03-anomaly,8,background,60,60,2,1
03-anomaly,03-anomaly,8,background,61,61,2,1
03-anomaly,03-anomaly,8,background,62,62,2,1
03-anomaly,03-anomaly,8,background,63,63,2,1
03-anomaly,03-anomaly,8,background,64,64,2,1
03-anomaly,03-anomaly,8,background,65,65,2,1
03-anomaly,03-anomaly,8,background,66,66,2,1
03-anomaly,03-anomaly,8,background,67,67,2,1
