URLID,URL,TagID,Tag,Start,End,Time,State
05-run,05-run,8,background,0,0,1,1
05-run,05-run,8,background,1,1,1,1
05-run,05-run,8,background,2,2,1,1
05-run,05-run,8,background,3,3,1,1
05-run,05-run,8,background,4,4,1,1
05-run,05-run,8,background,5,5,1,1
05-run,05-run,8,background,6,6,1,1
05-run,05-run,8,background,7,7,1,1
05-run,05-run,8,background,8,8,1,1
05-run,05-run,8,background,9,9,1,1
05-run,05-run,8,background,10,10,1,1
05-run,05-run,8,background,11,11,1,1
05-run,05-run,8,background,12,12,1,1
05-run,05-run,8,background,13,13,1,1
05-run,05-run,8,background,14,14,1,1
05-run,05-run,8,background,15,15,1,1
05-run,05-run,8,background,16,16,1,1
05-run,05-run,8,background,17,17,1,1
05-run,05-run,8,background,18,18,1,1
05-run,05-run,8,background,19,19,1,1
05-run,05-run,8,background,20,20,1,1
05-run,05-run,8,background,21,21,1,1
05-run,05-run,8,background,22,22,1,1
05-run,05-run,7,run,23,23,1,1
05-run,05-run,7,run,24,24,1,1
05-run,05-run,7,run,25,25,1,1
05-run,05-run,7,run,26,26,1,1
05-run,05-run,7,run,27,27,1,1
05-run,05-run,7,run,28,28,1,1
05-run,05-run,7,run,29,29,1,1
05-run,05-run,7,run,30,30,1,1
05-run,05-run,7,run,31,31,1,1
05-run,05-run,7,run,32,32,1,1
05-run,05-run,7,run,33,33,1,1
05-run,05-run,8,background,34,34,1,1
05-run,05-run,8,background,35,35,1,1
05-run,05-run,8,background,36,36,1,1
05-run,05-run,8,background,37,37,1,1
05-run,05-run,8,background,38,38,1,1
05-run,05-run,8,background,39,39,1,1
05-run,05-run,8,background,40,40,1,1
05-run,05-run,8,background,41,41,1,1
05-run,05-run,8,background,42,42,1,1
05-run,05-run,8,background,43,43,1,1
05-run,05-run,8,background,44,44,1,1
05-run,05-run,8,background,45,45,1,1
05-run,05-run,8,background,46,46,1,1
05-run,05-run,8,background,47,47,1,1
05-run,05-run,8,background,48,48,1,1
05-run,05-run,8,background,49,49,1,1
05-run,05-run,8,background,50,50,1,1
05-run,05-run,8,background,51,51,1,1
05-run,05-run,8,background,52,52,1,1
05-run,05-run,8,background,53,53,1,1
05-run,05-run,8,background,54,54,1,1
05-run,05-run,8,background,55,55,1,1
05-run,05-run,8,background,56,56,1,1
05-run,05-run,8,background,57,57,1,1
05-run,05-run,8,background,58,58,1,1
05-run,05-run,8,background,59,59,1,1
05-run,05-run,8,background,60,60,1,1
05-run,05-run,8,background,61,61,1,1
05-run,05-run,7,run,62,62,1,1
05-run,05-run,7,run,63,63,1,1
05-run,05-run,7,run,64,64,1,1
05-run,05-run,7,run,65,65,1,1
05-run,05-run,7,run,66,66,1,1
05-run,05-run,7,run,67,67,1,1
05-run,05-run,7,run,68,68,1,1
05-run,05-run,7,run,69,69,1,1
05-run,05-run,7,run,70,70,1,1
05-run,05-run,8,background,71,71,1,1
05-run,05-run,8,background,72,72,1,1
05-run,05-run,8,background,73,73,1,1
05-run,05-run,8,background,74,74,1,1
05-run,05-run,8,background,75,75,1,1
05-run,05-run,8,background,76,76,1,1
05-run,05-run,8,background,77,77,1,1
05-run,05-run,8,background,78,78,1,1
05-run,05-run,8,background,79,79,1,1
05-run,05-run,8,background,80,80,1,1
05-run,05-run,8,background,81,81,1,1
05-run,05-run,8,background,82,82,1,1
05-run,05-run,8,background,83,83,1,1
05-run,05-run,8,background,84,84,1,1
05-run,05-run,8,background,85,85,1,1
05-run,05-run,8,background,86,86,1,1
05-run,05-run,8,background,87,87,1,1
05-run,05-run,8,background,88,88,1,1
05-run,05-run,8,background,89,89,1,1
05-run,05-run,8,background,90,90,1,1
05-run,05-run,8,background,91,91,1,1
05-run,05-run,8,background,92,92,1,1
05-run,05-run,7,run,93,93,1,1
05-run,05-run,7,run,94,94,1,1
05-run,05-run,7,run,95,95,1,1
05-run,05-run,7,run,96,96,1,1
05-run,05-run,7,run,97,97,1,1
05-run,05-run,7,run,98,98,1,1
05-run,05-run,7,run,99,99,1,1
05-run,05-run,7,run,100,100,1,1
05-run,05-run,7,run,101,101,1,1
05-run,05-run,7,run,102,102,1,1
05-run,05-run,8,background,103,103,1,1
05-run,05-run,8,background,104,104,1,1
05-run,05-run,8,background,105,105,1,1
05-run,05-run,8,background,106,106,1,1
05-run,05-run,8,background,107,107,1,1
05-run,05-run,8,background,108,108,1,1
05-run,05-run,8,background,109,109,1,1
05-run,05-run,8,background,110,110,1,1
05-run,05-run,8,background,111,111,1,1
05-run,05-run,8,background,112,112,1,1
05-run,05-run,8,background,113,113,1,1
05-run,05-run,8,background,114,114,1,1
05-run,05-run,8,background,115,115,1,1
05-run,05-run,8,background,116,116,1,1
05-run,05-run,8,background,117,117,1,1
05-run,05-run,8,background,118,118,1,1
05-run,05-run,8,background,119,119,1,1
05-run,05-run,8,background,120,120,1,1
05-run,05-run,8,background,121,121,1,1
05-run,05-run,8,background,122,122,1,1
05-run,05-run,8,background,123,123,1,1
05-run,05-run,8,background,124,124,1,1
05-run,05-run,8,background,125,125,1,1
05-run,05-run,8,background,126,126,1,1
05-run,05-run,8,background,127,127,1,1
05-run,05-run,8,background,128,128,1,1
05-run,05-run,8,background,129,129,1,1
05-run,05-run,8,background,130,130,1,1
05-run,05-run,8,background,131,131,1,1
05-run,05-run,8,background,132,132,1,1
05-run,05-run,8,background,133,133,1,1
05-run,05-run,7,run,134,134,1,1
05-run,05-run,7,run,135,135,1,1
05-run,05-run,7,run,136,136,1,1
05-run,05-run,7,run,137,137,1,1
05-run,05-run,7,run,138,138,1,1
05-run,05-run,7,run,139,139,1,1
05-run,05-run,7,run,140,140,1,1
05-run,05-run,7,run,141,141,1,1
05-run,05-run,7,run,142,142,1,1
