URLID,URL,TagID,Tag,Start,End,Time,State
11-stuff_on_floor,11-stuff_on_floor,8,background,0,0,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,1,1,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,2,2,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,3,3,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,4,4,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,5,5,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,6,6,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,7,7,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,8,8,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,9,9,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,10,10,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,11,11,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,12,12,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,13,13,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,14,14,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,15,15,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,16,16,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,17,17,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,18,18,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,19,19,1,1
11-stuff_on_floor,11-stuff_on_floor,8,background,20,20,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,21,21,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,22,22,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,23,23,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,24,24,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,25,25,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,26,26,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,27,27,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,28,28,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,29,29,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,30,30,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,31,31,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,32,32,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,33,33,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,34,34,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,35,35,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,36,36,1,1
11-stuff_on_floor,11-stuff_on_floor,0,normal,37,37,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,38,38,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,39,39,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,40,40,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,41,41,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,42,42,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,43,43,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,44,44,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,45,45,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,46,46,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,47,47,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,48,48,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,49,49,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,50,50,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,51,51,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,52,52,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,53,53,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,54,54,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,55,55,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,56,56,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,57,57,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,58,58,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,59,59,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,60,60,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,61,61,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,62,62,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,63,63,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,64,64,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,65,65,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,66,66,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,67,67,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,68,68,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,69,69,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,70,70,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,71,71,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,72,72,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,73,73,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,74,74,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,75,75,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,76,76,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,77,77,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,78,78,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,79,79,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,80,80,1,1
11-stuff_on_floor,11-stuff_on_floor,1,anomaly,81,81,1,1
