URLID,URL,TagID,Tag,Start,End,Time,State
13-more_stuff,13-more_stuff,8,background,0,0,1,1
13-more_stuff,13-more_stuff,8,background,1,1,1,1
13-more_stuff,13-more_stuff,8,background,2,2,1,1
13-more_stuff,13-more_stuff,8,background,3,3,1,1
13-more_stuff,13-more_stuff,8,background,4,4,1,1
13-more_stuff,13-more_stuff,8,background,5,5,1,1
13-more_stuff,13-more_stuff,8,background,6,6,1,1
13-more_stuff,13-more_stuff,8,background,7,7,1,1
13-more_stuff,13-more_stuff,8,background,8,8,1,1
13-more_stuff,13-more_stuff,8,background,9,9,1,1
13-more_stuff,13-more_stuff,8,background,10,10,1,1
13-more_stuff,13-more_stuff,8,background,11,11,1,1
13-more_stuff,13-more_stuff,8,background,12,12,1,1
13-more_stuff,13-more_stuff,8,background,13,13,1,1
13-more_stuff,13-more_stuff,8,background,14,14,1,1
13-more_stuff,13-more_stuff,8,background,15,15,1,1
13-more_stuff,13-more_stuff,8,background,16,16,1,1
13-more_stuff,13-more_stuff,8,background,17,17,1,1
13-more_stuff,13-more_stuff,8,background,18,18,1,1
13-more_stuff,13-more_stuff,8,background,19,19,1,1
13-more_stuff,13-more_stuff,8,background,20,20,1,1
13-more_stuff,13-more_stuff,8,background,21,21,1,1
13-more_stuff,13-more_stuff,8,background,22,22,1,1
13-more_stuff,13-more_stuff,8,background,23,23,1,1
13-more_stuff,13-more_stuff,8,background,24,24,1,1
13-more_stuff,13-more_stuff,8,background,25,25,1,1
13-more_stuff,13-more_stuff,8,background,26,26,1,1
13-more_stuff,13-more_stuff,8,background,27,27,1,1
13-more_stuff,13-more_stuff,8,background,28,28,1,1
13-more_stuff,13-more_stuff,8,background,29,29,1,1
13-more_stuff,13-more_stuff,8,background,30,30,1,1
13-more_stuff,13-more_stuff,8,background,31,31,1,1
13-more_stuff,13-more_stuff,8,background,32,32,1,1
13-more_stuff,13-more_stuff,8,background,33,33,1,1
13-more_stuff,13-more_stuff,8,background,34,34,1,1
13-more_stuff,13-more_stuff,8,background,35,35,1,1
13-more_stuff,13-more_stuff,8,background,36,36,1,1
13-more_stuff,13-more_stuff,8,background,37,37,1,1
13-more_stuff,13-more_stuff,8,background,38,38,1,1
13-more_stuff,13-more_stuff,8,background,39,39,1,1
13-more_stuff,13-more_stuff,8,background,40,40,1,1
13-more_stuff,13-more_stuff,8,background,41,41,1,1
13-more_stuff,13-more_stuff,8,background,42,42,1,1
13-more_stuff,13-more_stuff,8,background,43,43,1,1
13-more_stuff,13-more_stuff,8,background,44,44,1,1
13-more_stuff,13-more_stuff,8,background,45,45,1,1
13-more_stuff,13-more_stuff,8,background,46,46,1,1
13-more_stuff,13-more_stuff,8,background,47,47,1,1
13-more_stuff,13-more_stuff,8,background,48,48,1,1
13-more_stuff,13-more_stuff,8,background,49,49,1,1
13-more_stuff,13-more_stuff,8,background,50,50,1,1
13-more_stuff,13-more_stuff,8,background,51,51,1,1
13-more_stuff,13-more_stuff,8,background,52,52,1,1
13-more_stuff,13-more_stuff,8,background,53,53,1,1
13-more_stuff,13-more_stuff,8,background,54,54,1,1
13-more_stuff,13-more_stuff,8,background,55,55,1,1
13-more_stuff,13-more_stuff,8,background,56,56,1,1
13-more_stuff,13-more_stuff,8,background,57,57,1,1
13-more_stuff,13-more_stuff,8,background,58,58,1,1
13-more_stuff,13-more_stuff,8,background,59,59,1,1
13-more_stuff,13-more_stuff,8,background,60,60,1,1
13-more_stuff,13-more_stuff,8,background,61,61,1,1
13-more_stuff,13-more_stuff,8,background,62,62,1,1
13-more_stuff,13-more_stuff,8,background,63,63,1,1
13-more_stuff,13-more_stuff,8,background,64,64,1,1
13-more_stuff,13-more_stuff,8,background,65,65,1,1
13-more_stuff,13-more_stuff,8,background,66,66,1,1
13-more_stuff,13-more_stuff,8,background,67,67,1,1
13-more_stuff,13-more_stuff,8,background,68,68,1,1
13-more_stuff,13-more_stuff,8,background,69,69,1,1
13-more_stuff,13-more_stuff,8,background,70,70,1,1
13-more_stuff,13-more_stuff,8,background,71,71,1,1
13-more_stuff,13-more_stuff,0,normal,72,72,1,1
13-more_stuff,13-more_stuff,0,normal,73,73,1,1
13-more_stuff,13-more_stuff,0,normal,74,74,1,1
13-more_stuff,13-more_stuff,0,normal,75,75,1,1
13-more_stuff,13-more_stuff,0,normal,76,76,1,1
13-more_stuff,13-more_stuff,0,normal,77,77,1,1
13-more_stuff,13-more_stuff,0,normal,78,78,1,1
13-more_stuff,13-more_stuff,0,normal,79,79,1,1
13-more_stuff,13-more_stuff,0,normal,80,80,1,1
13-more_stuff,13-more_stuff,0,normal,81,81,1,1
13-more_stuff,13-more_stuff,0,normal,82,82,1,1
13-more_stuff,13-more_stuff,0,normal,83,83,1,1
13-more_stuff,13-more_stuff,0,normal,84,84,1,1
13-more_stuff,13-more_stuff,0,normal,85,85,1,1
13-more_stuff,13-more_stuff,0,normal,86,86,1,1
