URLID,URL,TagID,Tag,Start,End,Time,State
18-background,18-background,8,background,0,0,1,1
18-background,18-background,8,background,1,1,1,1
18-background,18-background,8,background,2,2,1,1
18-background,18-background,8,background,3,3,1,1
18-background,18-background,8,background,4,4,1,1
18-background,18-background,8,background,5,5,1,1
18-background,18-background,8,background,6,6,1,1
18-background,18-background,8,background,7,7,1,1
18-background,18-background,8,background,8,8,1,1
18-background,18-background,8,background,9,9,1,1
18-background,18-background,8,background,10,10,1,1
18-background,18-background,8,background,11,11,1,1
18-background,18-background,8,background,12,12,1,1
18-background,18-background,8,background,13,13,1,1
18-background,18-background,8,background,14,14,1,1
18-background,18-background,8,background,15,15,1,1
18-background,18-background,8,background,16,16,1,1
18-background,18-background,8,background,17,17,1,1
18-background,18-background,8,background,18,18,1,1
18-background,18-background,8,background,19,19,1,1
18-background,18-background,8,background,20,20,1,1
18-background,18-background,8,background,21,21,1,1
18-background,18-background,8,background,22,22,1,1
18-background,18-background,8,background,23,23,1,1
18-background,18-background,8,background,24,24,1,1
18-background,18-background,8,background,25,25,1,1
18-background,18-background,8,background,26,26,1,1
18-background,18-background,8,background,27,27,1,1
18-background,18-background,8,background,28,28,1,1
18-background,18-background,8,background,29,29,1,1
18-background,18-background,8,background,30,30,1,1
18-background,18-background,8,background,31,31,1,1
18-background,18-background,8,background,32,32,1,1
18-background,18-background,8,background,33,33,1,1
18-background,18-background,8,background,34,34,1,1
18-background,18-background,8,background,35,35,1,1
18-background,18-background,8,background,36,36,1,1
18-background,18-background,8,background,37,37,1,1
18-background,18-background,8,background,38,38,1,1
18-background,18-background,8,background,39,39,1,1
18-background,18-background,8,background,40,40,1,1
18-background,18-background,8,background,41,41,1,1
18-background,18-background,8,background,42,42,1,1
18-background,18-background,8,background,43,43,1,1
18-background,18-background,8,background,44,44,1,1
18-background,18-background,8,background,45,45,1,1
18-background,18-background,8,background,46,46,1,1
18-background,18-background,8,background,47,47,1,1
18-background,18-background,8,background,48,48,1,1
18-background,18-background,8,background,49,49,1,1
18-background,18-background,8,background,50,50,1,1
18-background,18-background,8,background,51,51,1,1
18-background,18-background,8,background,52,52,1,1
18-background,18-background,8,background,53,53,1,1
18-background,18-background,8,background,54,54,1,1
18-background,18-background,8,background,55,55,1,1
18-background,18-background,8,background,56,56,1,1
18-background,18-background,8,background,57,57,1,1
18-background,18-background,8,background,58,58,1,1
18-background,18-background,8,background,59,59,1,1
18-background,18-background,8,background,60,60,1,1
18-background,18-background,8,background,61,61,1,1
18-background,18-background,8,background,62,62,1,1
18-background,18-background,8,background,63,63,1,1
18-background,18-background,8,background,64,64,1,1
18-background,18-background,8,background,65,65,1,1
18-background,18-background,8,background,66,66,1,1
18-background,18-background,8,background,67,67,1,1
18-background,18-background,8,background,68,68,1,1
18-background,18-background,8,background,69,69,1,1
18-background,18-background,8,background,70,70,1,1
18-background,18-background,8,background,71,71,1,1
18-background,18-background,8,background,72,72,1,1
18-background,18-background,8,background,73,73,1,1
18-background,18-background,8,background,74,74,1,1
18-background,18-background,8,background,75,75,1,1
18-background,18-background,8,background,76,76,1,1
18-background,18-background,8,background,77,77,1,1
18-background,18-background,8,background,78,78,1,1
18-background,18-background,8,background,79,79,1,1
18-background,18-background,8,background,80,80,1,1
18-background,18-background,8,background,81,81,1,1
18-background,18-background,8,background,82,82,1,1
18-background,18-background,8,background,83,83,1,1
18-background,18-background,8,background,84,84,1,1
18-background,18-background,8,background,85,85,1,1
18-background,18-background,8,background,86,86,1,1
18-background,18-background,8,background,87,87,1,1
18-background,18-background,8,background,88,88,1,1
18-background,18-background,8,background,89,89,1,1
18-background,18-background,8,background,90,90,1,1
18-background,18-background,8,background,91,91,1,1
18-background,18-background,8,background,92,92,1,1
18-background,18-background,8,background,93,93,1,1
18-background,18-background,8,background,94,94,1,1
18-background,18-background,8,background,95,95,1,1
18-background,18-background,8,background,96,96,1,1
18-background,18-background,8,background,97,97,1,1
18-background,18-background,8,background,98,98,1,1
18-background,18-background,8,background,99,99,1,1
18-background,18-background,8,background,100,100,1,1
18-background,18-background,8,background,101,101,1,1
18-background,18-background,8,background,102,102,1,1
18-background,18-background,8,background,103,103,1,1
18-background,18-background,8,background,104,104,1,1
18-background,18-background,8,background,105,105,1,1
18-background,18-background,8,background,106,106,1,1
18-background,18-background,8,background,107,107,1,1
18-background,18-background,8,background,108,108,1,1
18-background,18-background,8,background,109,109,1,1
18-background,18-background,8,background,110,110,1,1
18-background,18-background,8,background,111,111,1,1
18-background,18-background,8,background,112,112,1,1
18-background,18-background,8,background,113,113,1,1
18-background,18-background,8,background,114,114,1,1
18-background,18-background,8,background,115,115,1,1
18-background,18-background,8,background,116,116,1,1
18-background,18-background,8,background,117,117,1,1
18-background,18-background,8,background,118,118,1,1
18-background,18-background,8,background,119,119,1,1
18-background,18-background,8,background,120,120,1,1
18-background,18-background,8,background,121,121,1,1
18-background,18-background,8,background,122,122,1,1
18-background,18-background,8,background,123,123,1,1
18-background,18-background,8,background,124,124,1,1
18-background,18-background,8,background,125,125,1,1
18-background,18-background,8,background,126,126,1,1
18-background,18-background,8,background,127,127,1,1
18-background,18-background,8,background,128,128,1,1
18-background,18-background,8,background,129,129,1,1
18-background,18-background,8,background,130,130,1,1
18-background,18-background,8,background,131,131,1,1
18-background,18-background,8,background,132,132,1,1
18-background,18-background,8,background,133,133,1,1
18-background,18-background,8,background,134,134,1,1
18-background,18-background,8,background,135,135,1,1
18-background,18-background,8,background,136,136,1,1
18-background,18-background,8,background,137,137,1,1
18-background,18-background,8,background,138,138,1,1
18-background,18-background,8,background,139,139,1,1
18-background,18-background,8,background,140,140,1,1
18-background,18-background,8,background,141,141,1,1
18-background,18-background,8,background,142,142,1,1
18-background,18-background,8,background,143,143,1,1
18-background,18-background,8,background,144,144,1,1
18-background,18-background,8,background,145,145,1,1
18-background,18-background,8,background,146,146,1,1
18-background,18-background,8,background,147,147,1,1
18-background,18-background,8,background,148,148,1,1
18-background,18-background,8,background,149,149,1,1
18-background,18-background,8,background,150,150,1,1
18-background,18-background,8,background,151,151,1,1
18-background,18-background,8,background,152,152,1,1
18-background,18-background,8,background,153,153,1,1
18-background,18-background,8,background,154,154,1,1
18-background,18-background,8,background,155,155,1,1
18-background,18-background,8,background,156,156,1,1
18-background,18-background,8,background,157,157,1,1
18-background,18-background,8,background,158,158,1,1
18-background,18-background,8,background,159,159,1,1
18-background,18-background,8,background,160,160,1,1
18-background,18-background,8,background,161,161,1,1
18-background,18-background,8,background,162,162,1,1
18-background,18-background,8,background,163,163,1,1
18-background,18-background,8,background,164,164,1,1
18-background,18-background,8,background,165,165,1,1
18-background,18-background,8,background,166,166,1,1
18-background,18-background,8,background,167,167,1,1
18-background,18-background,8,background,168,168,1,1
18-background,18-background,8,background,169,169,1,1
18-background,18-background,8,background,170,170,1,1
18-background,18-background,8,background,171,171,1,1
18-background,18-background,8,background,172,172,1,1
18-background,18-background,8,background,173,173,1,1
18-background,18-background,8,background,174,174,1,1
18-background,18-background,8,background,175,175,1,1
18-background,18-background,8,background,176,176,1,1
18-background,18-background,8,background,177,177,1,1
18-background,18-background,8,background,178,178,1,1
18-background,18-background,8,background,179,179,1,1
18-background,18-background,8,background,180,180,1,1
18-background,18-background,8,background,181,181,1,1
18-background,18-background,8,background,182,182,1,1
18-background,18-background,8,background,183,183,1,1
18-background,18-background,8,background,184,184,1,1
18-background,18-background,8,background,185,185,1,1
18-background,18-background,8,background,186,186,1,1
18-background,18-background,8,background,187,187,1,1
18-background,18-background,8,background,188,188,1,1
18-background,18-background,8,background,189,189,1,1
18-background,18-background,8,background,190,190,1,1
18-background,18-background,8,background,191,191,1,1
18-background,18-background,8,background,192,192,1,1
18-background,18-background,8,background,193,193,1,1
18-background,18-background,8,background,194,194,1,1
18-background,18-background,8,background,195,195,1,1
18-background,18-background,8,background,196,196,1,1
18-background,18-background,8,background,197,197,1,1
18-background,18-background,8,background,198,198,1,1
18-background,18-background,8,background,199,199,1,1
18-background,18-background,8,background,200,200,1,1
18-background,18-background,8,background,201,201,1,1
18-background,18-background,8,background,202,202,1,1
18-background,18-background,8,background,203,203,1,1
18-background,18-background,8,background,204,204,1,1
18-background,18-background,8,background,205,205,1,1
18-background,18-background,8,background,206,206,1,1
18-background,18-background,8,background,207,207,1,1
18-background,18-background,8,background,208,208,1,1
18-background,18-background,8,background,209,209,1,1
18-background,18-background,8,background,210,210,1,1
18-background,18-background,8,background,211,211,1,1
18-background,18-background,8,background,212,212,1,1
18-background,18-background,8,background,213,213,1,1
18-background,18-background,8,background,214,214,1,1
18-background,18-background,8,background,215,215,1,1
18-background,18-background,8,background,216,216,1,1
18-background,18-background,8,background,217,217,1,1
18-background,18-background,8,background,218,218,1,1
18-background,18-background,8,background,219,219,1,1
18-background,18-background,8,background,220,220,1,1
18-background,18-background,8,background,221,221,1,1
18-background,18-background,8,background,222,222,1,1
18-background,18-background,8,background,223,223,1,1
18-background,18-background,8,background,224,224,1,1
18-background,18-background,8,background,225,225,1,1
18-background,18-background,8,background,226,226,1,1
18-background,18-background,8,background,227,227,1,1
18-background,18-background,8,background,228,228,1,1
18-background,18-background,8,background,229,229,1,1
18-background,18-background,8,background,230,230,1,1
18-background,18-background,8,background,231,231,1,1
18-background,18-background,8,background,232,232,1,1
18-background,18-background,8,background,233,233,1,1
18-background,18-background,8,background,234,234,1,1
18-background,18-background,8,background,235,235,1,1
18-background,18-background,8,background,236,236,1,1
18-background,18-background,8,background,237,237,1,1
18-background,18-background,8,background,238,238,1,1
18-background,18-background,8,background,239,239,1,1
18-background,18-background,8,background,240,240,1,1
18-background,18-background,8,background,241,241,1,1
18-background,18-background,8,background,242,242,1,1
18-background,18-background,8,background,243,243,1,1
18-background,18-background,8,background,244,244,1,1
18-background,18-background,8,background,245,245,1,1
18-background,18-background,8,background,246,246,1,1
18-background,18-background,8,background,247,247,1,1
18-background,18-background,8,background,248,248,1,1
18-background,18-background,8,background,249,249,1,1
18-background,18-background,8,background,250,250,1,1
18-background,18-background,8,background,251,251,1,1
18-background,18-background,8,background,252,252,1,1
18-background,18-background,8,background,253,253,1,1
18-background,18-background,8,background,254,254,1,1
18-background,18-background,8,background,255,255,1,1
18-background,18-background,8,background,256,256,1,1
18-background,18-background,8,background,257,257,1,1
18-background,18-background,8,background,258,258,1,1
18-background,18-background,8,background,259,259,1,1
18-background,18-background,8,background,260,260,1,1
18-background,18-background,8,background,261,261,1,1
18-background,18-background,8,background,262,262,1,1
18-background,18-background,8,background,263,263,1,1
18-background,18-background,8,background,264,264,1,1
18-background,18-background,8,background,265,265,1,1
18-background,18-background,8,background,266,266,1,1
18-background,18-background,8,background,267,267,1,1
18-background,18-background,8,background,268,268,1,1
18-background,18-background,8,background,269,269,1,1
18-background,18-background,8,background,270,270,1,1
18-background,18-background,8,background,271,271,1,1
18-background,18-background,8,background,272,272,1,1
18-background,18-background,8,background,273,273,1,1
18-background,18-background,8,background,274,274,1,1
18-background,18-background,8,background,275,275,1,1
18-background,18-background,8,background,276,276,1,1
18-background,18-background,8,background,277,277,1,1
18-background,18-background,8,background,278,278,1,1
18-background,18-background,8,background,279,279,1,1
18-background,18-background,8,background,280,280,1,1
18-background,18-background,8,background,281,281,1,1
18-background,18-background,8,background,282,282,1,1
18-background,18-background,8,background,283,283,1,1
18-background,18-background,8,background,284,284,1,1
18-background,18-background,8,background,285,285,1,1
18-background,18-background,8,background,286,286,1,1
18-background,18-background,8,background,287,287,1,1
18-background,18-background,8,background,288,288,1,1
18-background,18-background,8,background,289,289,1,1
18-background,18-background,8,background,290,290,1,1
18-background,18-background,8,background,291,291,1,1
18-background,18-background,8,background,292,292,1,1
18-background,18-background,8,background,293,293,1,1
18-background,18-background,8,background,294,294,1,1
18-background,18-background,8,background,295,295,1,1
18-background,18-background,8,background,296,296,1,1
18-background,18-background,8,background,297,297,1,1
18-background,18-background,8,background,298,298,1,1
18-background,18-background,8,background,299,299,1,1
18-background,18-background,8,background,300,300,1,1
18-background,18-background,8,background,301,301,1,1
18-background,18-background,8,background,302,302,1,1
18-background,18-background,8,background,303,303,1,1
18-background,18-background,8,background,304,304,1,1
18-background,18-background,8,background,305,305,1,1
18-background,18-background,8,background,306,306,1,1
18-background,18-background,8,background,307,307,1,1
