URLID,URL,TagID,Tag,Start,End,Time,State
21-random,21-random,0,normal,0,0,1,1
21-random,21-random,0,normal,1,1,1,1
21-random,21-random,0,normal,2,2,1,1
21-random,21-random,0,normal,3,3,1,1
21-random,21-random,0,normal,4,4,1,1
21-random,21-random,0,normal,5,5,1,1
21-random,21-random,0,normal,6,6,1,1
21-random,21-random,0,normal,7,7,1,1
21-random,21-random,0,normal,8,8,1,1
21-random,21-random,0,normal,9,9,1,1
21-random,21-random,0,normal,10,10,1,1
21-random,21-random,0,normal,11,11,1,1
21-random,21-random,0,normal,12,12,1,1
21-random,21-random,0,normal,13,13,1,1
21-random,21-random,0,normal,14,14,1,1
21-random,21-random,0,normal,15,15,1,1
21-random,21-random,0,normal,16,16,1,1
21-random,21-random,0,normal,17,17,1,1
21-random,21-random,0,normal,18,18,1,1
21-random,21-random,0,normal,19,19,1,1
21-random,21-random,0,normal,20,20,1,1
21-random,21-random,0,normal,21,21,1,1
21-random,21-random,0,normal,22,22,1,1
21-random,21-random,0,normal,23,23,1,1
21-random,21-random,0,normal,24,24,1,1
21-random,21-random,0,normal,25,25,1,1
21-random,21-random,0,normal,26,26,1,1
21-random,21-random,0,normal,27,27,1,1
21-random,21-random,0,normal,28,28,1,1
21-random,21-random,0,normal,29,29,1,1
21-random,21-random,0,normal,30,30,1,1
21-random,21-random,0,normal,31,31,1,1
21-random,21-random,0,normal,32,32,1,1
21-random,21-random,8,background,33,33,1,1
21-random,21-random,8,background,34,34,1,1
21-random,21-random,8,background,35,35,1,1
21-random,21-random,8,background,36,36,1,1
21-random,21-random,8,background,37,37,1,1
21-random,21-random,8,background,38,38,1,1
21-random,21-random,8,background,39,39,1,1
21-random,21-random,8,background,40,40,1,1
21-random,21-random,8,background,41,41,1,1
21-random,21-random,8,background,42,42,1,1
21-random,21-random,8,background,43,43,1,1
21-random,21-random,8,background,44,44,1,1
21-random,21-random,8,background,45,45,1,1
21-random,21-random,8,background,46,46,1,1
21-random,21-random,8,background,47,47,1,1
