URLID,URL,TagID,Tag,Start,End,Time,State
25-helmets,25-helmets,8,background,0,0,1,1
25-helmets,25-helmets,8,background,1,1,1,1
25-helmets,25-helmets,8,background,2,2,1,1
25-helmets,25-helmets,8,background,3,3,1,1
25-helmets,25-helmets,8,background,4,4,1,1
25-helmets,25-helmets,8,background,5,5,1,1
25-helmets,25-helmets,8,background,6,6,1,1
25-helmets,25-helmets,8,background,7,7,1,1
25-helmets,25-helmets,8,background,8,8,1,1
25-helmets,25-helmets,8,background,9,9,1,1
25-helmets,25-helmets,8,background,10,10,1,1
25-helmets,25-helmets,8,background,11,11,1,1
25-helmets,25-helmets,8,background,12,12,1,1
25-helmets,25-helmets,8,background,13,13,1,1
25-helmets,25-helmets,8,background,14,14,1,1
25-helmets,25-helmets,8,background,15,15,1,1
25-helmets,25-helmets,8,background,16,16,1,1
25-helmets,25-helmets,8,background,17,17,1,1
25-helmets,25-helmets,8,background,18,18,1,1
25-helmets,25-helmets,8,background,19,19,1,1
25-helmets,25-helmets,8,background,20,20,1,1
25-helmets,25-helmets,0,normal,21,21,1,1
25-helmets,25-helmets,0,normal,22,22,1,1
25-helmets,25-helmets,0,normal,23,23,1,1
25-helmets,25-helmets,0,normal,24,24,1,1
25-helmets,25-helmets,0,normal,25,25,1,1
25-helmets,25-helmets,0,normal,26,26,1,1
25-helmets,25-helmets,0,normal,27,27,1,1
25-helmets,25-helmets,0,normal,28,28,1,1
25-helmets,25-helmets,0,normal,29,29,1,1
25-helmets,25-helmets,0,normal,30,30,1,1
25-helmets,25-helmets,0,normal,31,31,1,1
25-helmets,25-helmets,0,normal,32,32,1,1
25-helmets,25-helmets,0,normal,33,33,1,1
25-helmets,25-helmets,0,normal,34,34,1,1
25-helmets,25-helmets,0,normal,35,35,1,1
25-helmets,25-helmets,0,normal,36,36,1,1
25-helmets,25-helmets,0,normal,37,37,1,1
25-helmets,25-helmets,0,normal,38,38,1,1
25-helmets,25-helmets,0,normal,39,39,1,1
25-helmets,25-helmets,0,normal,40,40,1,1
25-helmets,25-helmets,0,normal,41,41,1,1
25-helmets,25-helmets,0,normal,42,42,1,1
25-helmets,25-helmets,0,normal,43,43,1,1
25-helmets,25-helmets,0,normal,44,44,1,1
25-helmets,25-helmets,0,normal,45,45,1,1
25-helmets,25-helmets,0,normal,46,46,1,1
25-helmets,25-helmets,0,normal,47,47,1,1
25-helmets,25-helmets,0,normal,48,48,1,1
25-helmets,25-helmets,0,normal,49,49,1,1
25-helmets,25-helmets,0,normal,50,50,1,1
25-helmets,25-helmets,0,normal,51,51,1,1
25-helmets,25-helmets,0,normal,52,52,1,1
25-helmets,25-helmets,0,normal,53,53,1,1
25-helmets,25-helmets,0,normal,54,54,1,1
25-helmets,25-helmets,0,normal,55,55,1,1
25-helmets,25-helmets,0,normal,56,56,1,1
25-helmets,25-helmets,0,normal,57,57,1,1
25-helmets,25-helmets,0,normal,58,58,1,1
25-helmets,25-helmets,0,normal,59,59,1,1
25-helmets,25-helmets,0,normal,60,60,1,1
25-helmets,25-helmets,0,normal,61,61,1,1
25-helmets,25-helmets,0,normal,62,62,1,1
25-helmets,25-helmets,0,normal,63,63,1,1
25-helmets,25-helmets,0,normal,64,64,1,1
25-helmets,25-helmets,0,normal,65,65,1,1
25-helmets,25-helmets,0,normal,66,66,1,1
25-helmets,25-helmets,0,normal,67,67,1,1
25-helmets,25-helmets,0,normal,68,68,1,1
25-helmets,25-helmets,0,normal,69,69,1,1
25-helmets,25-helmets,0,normal,70,70,1,1
25-helmets,25-helmets,0,normal,71,71,1,1
25-helmets,25-helmets,0,normal,72,72,1,1
25-helmets,25-helmets,0,normal,73,73,1,1
25-helmets,25-helmets,0,normal,74,74,1,1
25-helmets,25-helmets,0,normal,75,75,1,1
25-helmets,25-helmets,0,normal,76,76,1,1
25-helmets,25-helmets,0,normal,77,77,1,1
25-helmets,25-helmets,0,normal,78,78,1,1
25-helmets,25-helmets,0,normal,79,79,1,1
25-helmets,25-helmets,0,normal,80,80,1,1
25-helmets,25-helmets,0,normal,81,81,1,1
25-helmets,25-helmets,0,normal,82,82,1,1
25-helmets,25-helmets,0,normal,83,83,1,1
25-helmets,25-helmets,0,normal,84,84,1,1
25-helmets,25-helmets,0,normal,85,85,1,1
25-helmets,25-helmets,0,normal,86,86,1,1
25-helmets,25-helmets,0,normal,87,87,1,1
25-helmets,25-helmets,0,normal,88,88,1,1
25-helmets,25-helmets,0,normal,89,89,1,1
25-helmets,25-helmets,0,normal,90,90,1,1
25-helmets,25-helmets,0,normal,91,91,1,1
25-helmets,25-helmets,0,normal,92,92,1,1
25-helmets,25-helmets,0,normal,93,93,1,1
25-helmets,25-helmets,0,normal,94,94,1,1
25-helmets,25-helmets,0,normal,95,95,1,1
25-helmets,25-helmets,0,normal,96,96,1,1
25-helmets,25-helmets,0,normal,97,97,1,1
25-helmets,25-helmets,0,normal,98,98,1,1
25-helmets,25-helmets,0,normal,99,99,1,1
25-helmets,25-helmets,0,normal,100,100,1,1
25-helmets,25-helmets,0,normal,101,101,1,1
25-helmets,25-helmets,0,normal,102,102,1,1
25-helmets,25-helmets,0,normal,103,103,1,1
25-helmets,25-helmets,0,normal,104,104,1,1
25-helmets,25-helmets,0,normal,105,105,1,1
25-helmets,25-helmets,0,normal,106,106,1,1
25-helmets,25-helmets,0,normal,107,107,1,1
25-helmets,25-helmets,0,normal,108,108,1,1
25-helmets,25-helmets,0,normal,109,109,1,1
25-helmets,25-helmets,0,normal,110,110,1,1
25-helmets,25-helmets,0,normal,111,111,1,1
25-helmets,25-helmets,0,normal,112,112,1,1
25-helmets,25-helmets,0,normal,113,113,1,1
25-helmets,25-helmets,0,normal,114,114,1,1
25-helmets,25-helmets,0,normal,115,115,1,1
25-helmets,25-helmets,0,normal,116,116,1,1
25-helmets,25-helmets,0,normal,117,117,1,1
25-helmets,25-helmets,0,normal,118,118,1,1
25-helmets,25-helmets,0,normal,119,119,1,1
25-helmets,25-helmets,0,normal,120,120,1,1
25-helmets,25-helmets,0,normal,121,121,1,1
25-helmets,25-helmets,0,normal,122,122,1,1
25-helmets,25-helmets,0,normal,123,123,1,1
25-helmets,25-helmets,0,normal,124,124,1,1
25-helmets,25-helmets,0,normal,125,125,1,1
25-helmets,25-helmets,0,normal,126,126,1,1
25-helmets,25-helmets,0,normal,127,127,1,1
25-helmets,25-helmets,0,normal,128,128,1,1
25-helmets,25-helmets,0,normal,129,129,1,1
25-helmets,25-helmets,0,normal,130,130,1,1
25-helmets,25-helmets,0,normal,131,131,1,1
25-helmets,25-helmets,0,normal,132,132,1,1
25-helmets,25-helmets,0,normal,133,133,1,1
25-helmets,25-helmets,0,normal,134,134,1,1
25-helmets,25-helmets,0,normal,135,135,1,1
25-helmets,25-helmets,0,normal,136,136,1,1
25-helmets,25-helmets,0,normal,137,137,1,1
25-helmets,25-helmets,0,normal,138,138,1,1
25-helmets,25-helmets,0,normal,139,139,1,1
25-helmets,25-helmets,0,normal,140,140,1,1
25-helmets,25-helmets,0,normal,141,141,1,1
25-helmets,25-helmets,0,normal,142,142,1,1
25-helmets,25-helmets,0,normal,143,143,1,1
25-helmets,25-helmets,0,normal,144,144,1,1
25-helmets,25-helmets,0,normal,145,145,1,1
25-helmets,25-helmets,0,normal,146,146,1,1
25-helmets,25-helmets,0,normal,147,147,1,1
25-helmets,25-helmets,0,normal,148,148,1,1
25-helmets,25-helmets,0,normal,149,149,1,1
25-helmets,25-helmets,0,normal,150,150,1,1
25-helmets,25-helmets,0,normal,151,151,1,1
25-helmets,25-helmets,0,normal,152,152,1,1
25-helmets,25-helmets,0,normal,153,153,1,1
25-helmets,25-helmets,0,normal,154,154,1,1
25-helmets,25-helmets,0,normal,155,155,1,1
25-helmets,25-helmets,0,normal,156,156,1,1
25-helmets,25-helmets,0,normal,157,157,1,1
25-helmets,25-helmets,0,normal,158,158,1,1
25-helmets,25-helmets,0,normal,159,159,1,1
25-helmets,25-helmets,0,normal,160,160,1,1
25-helmets,25-helmets,0,normal,161,161,1,1
25-helmets,25-helmets,0,normal,162,162,1,1
25-helmets,25-helmets,0,normal,163,163,1,1
25-helmets,25-helmets,0,normal,164,164,1,1
25-helmets,25-helmets,0,normal,165,165,1,1
25-helmets,25-helmets,0,normal,166,166,1,1
25-helmets,25-helmets,0,normal,167,167,1,1
25-helmets,25-helmets,0,normal,168,168,1,1
25-helmets,25-helmets,0,normal,169,169,1,1
25-helmets,25-helmets,0,normal,170,170,1,1
25-helmets,25-helmets,0,normal,171,171,1,1
25-helmets,25-helmets,0,normal,172,172,1,1
25-helmets,25-helmets,0,normal,173,173,1,1
25-helmets,25-helmets,0,normal,174,174,1,1
25-helmets,25-helmets,0,normal,175,175,1,1
25-helmets,25-helmets,0,normal,176,176,1,1
25-helmets,25-helmets,0,normal,177,177,1,1
25-helmets,25-helmets,0,normal,178,178,1,1
25-helmets,25-helmets,0,normal,179,179,1,1
25-helmets,25-helmets,0,normal,180,180,1,1
25-helmets,25-helmets,0,normal,181,181,1,1
25-helmets,25-helmets,0,normal,182,182,1,1
25-helmets,25-helmets,0,normal,183,183,1,1
25-helmets,25-helmets,0,normal,184,184,1,1
25-helmets,25-helmets,0,normal,185,185,1,1
25-helmets,25-helmets,0,normal,186,186,1,1
25-helmets,25-helmets,0,normal,187,187,1,1
25-helmets,25-helmets,0,normal,188,188,1,1
25-helmets,25-helmets,0,normal,189,189,1,1
25-helmets,25-helmets,0,normal,190,190,1,1
25-helmets,25-helmets,0,normal,191,191,1,1
25-helmets,25-helmets,0,normal,192,192,1,1
25-helmets,25-helmets,0,normal,193,193,1,1
25-helmets,25-helmets,0,normal,194,194,1,1
25-helmets,25-helmets,0,normal,195,195,1,1
25-helmets,25-helmets,0,normal,196,196,1,1
25-helmets,25-helmets,0,normal,197,197,1,1
25-helmets,25-helmets,0,normal,198,198,1,1
25-helmets,25-helmets,0,normal,199,199,1,1
25-helmets,25-helmets,0,normal,200,200,1,1
25-helmets,25-helmets,0,normal,201,201,1,1
25-helmets,25-helmets,0,normal,202,202,1,1
25-helmets,25-helmets,0,normal,203,203,1,1
25-helmets,25-helmets,0,normal,204,204,1,1
25-helmets,25-helmets,0,normal,205,205,1,1
25-helmets,25-helmets,0,normal,206,206,1,1
25-helmets,25-helmets,0,normal,207,207,1,1
25-helmets,25-helmets,0,normal,208,208,1,1
25-helmets,25-helmets,0,normal,209,209,1,1
25-helmets,25-helmets,0,normal,210,210,1,1
25-helmets,25-helmets,0,normal,211,211,1,1
25-helmets,25-helmets,0,normal,212,212,1,1
25-helmets,25-helmets,0,normal,213,213,1,1
25-helmets,25-helmets,0,normal,214,214,1,1
25-helmets,25-helmets,0,normal,215,215,1,1
25-helmets,25-helmets,0,normal,216,216,1,1
25-helmets,25-helmets,0,normal,217,217,1,1
25-helmets,25-helmets,0,normal,218,218,1,1
25-helmets,25-helmets,0,normal,219,219,1,1
25-helmets,25-helmets,0,normal,220,220,1,1
25-helmets,25-helmets,0,normal,221,221,1,1
25-helmets,25-helmets,0,normal,222,222,1,1
25-helmets,25-helmets,0,normal,223,223,1,1
25-helmets,25-helmets,0,normal,224,224,1,1
25-helmets,25-helmets,0,normal,225,225,1,1
25-helmets,25-helmets,0,normal,226,226,1,1
25-helmets,25-helmets,0,normal,227,227,1,1
25-helmets,25-helmets,0,normal,228,228,1,1
25-helmets,25-helmets,0,normal,229,229,1,1
25-helmets,25-helmets,0,normal,230,230,1,1
25-helmets,25-helmets,0,normal,231,231,1,1
25-helmets,25-helmets,0,normal,232,232,1,1
25-helmets,25-helmets,0,normal,233,233,1,1
25-helmets,25-helmets,0,normal,234,234,1,1
25-helmets,25-helmets,0,normal,235,235,1,1
25-helmets,25-helmets,0,normal,236,236,1,1
25-helmets,25-helmets,0,normal,237,237,1,1
25-helmets,25-helmets,0,normal,238,238,1,1
25-helmets,25-helmets,0,normal,239,239,1,1
25-helmets,25-helmets,0,normal,240,240,1,1
25-helmets,25-helmets,0,normal,241,241,1,1
25-helmets,25-helmets,0,normal,242,242,1,1
25-helmets,25-helmets,0,normal,243,243,1,1
25-helmets,25-helmets,0,normal,244,244,1,1
25-helmets,25-helmets,0,normal,245,245,1,1
25-helmets,25-helmets,0,normal,246,246,1,1
25-helmets,25-helmets,0,normal,247,247,1,1
25-helmets,25-helmets,0,normal,248,248,1,1
25-helmets,25-helmets,0,normal,249,249,1,1
25-helmets,25-helmets,0,normal,250,250,1,1
25-helmets,25-helmets,0,normal,251,251,1,1
25-helmets,25-helmets,0,normal,252,252,1,1
25-helmets,25-helmets,0,normal,253,253,1,1
25-helmets,25-helmets,0,normal,254,254,1,1
25-helmets,25-helmets,0,normal,255,255,1,1
25-helmets,25-helmets,0,normal,256,256,1,1
25-helmets,25-helmets,0,normal,257,257,1,1
25-helmets,25-helmets,0,normal,258,258,1,1
25-helmets,25-helmets,0,normal,259,259,1,1
25-helmets,25-helmets,0,normal,260,260,1,1
25-helmets,25-helmets,0,normal,261,261,1,1
