URLID,Frame,Time
28-schupfen,000000000000.jpg,0
28-schupfen,000000000001.jpg,1
28-schupfen,000000000002.jpg,2
28-schupfen,000000000003.jpg,3
28-schupfen,000000000004.jpg,4
28-schupfen,000000000005.jpg,5
28-schupfen,000000000006.jpg,6
28-schupfen,000000000007.jpg,7
28-schupfen,000000000008.jpg,8
28-schupfen,000000000009.jpg,9
28-schupfen,000000000010.jpg,10
28-schupfen,000000000011.jpg,11
28-schupfen,000000000012.jpg,12
28-schupfen,000000000013.jpg,13
28-schupfen,000000000014.jpg,14
28-schupfen,000000000015.jpg,15
28-schupfen,000000000016.jpg,16
28-schupfen,000000000017.jpg,17
28-schupfen,000000000018.jpg,18
28-schupfen,000000000019.jpg,19
28-schupfen,000000000020.jpg,20
28-schupfen,000000000021.jpg,21
28-schupfen,000000000022.jpg,22
28-schupfen,000000000023.jpg,23
28-schupfen,000000000024.jpg,24
28-schupfen,000000000025.jpg,25
28-schupfen,000000000026.jpg,26
28-schupfen,000000000027.jpg,27
28-schupfen,000000000028.jpg,28
28-schupfen,000000000029.jpg,29
28-schupfen,000000000030.jpg,30
28-schupfen,000000000031.jpg,31
28-schupfen,000000000032.jpg,32
28-schupfen,000000000033.jpg,33
28-schupfen,000000000034.jpg,34
28-schupfen,000000000035.jpg,35
28-schupfen,000000000036.jpg,36
28-schupfen,000000000037.jpg,37
28-schupfen,000000000038.jpg,38
28-schupfen,000000000039.jpg,39
28-schupfen,000000000040.jpg,40
28-schupfen,000000000041.jpg,41
28-schupfen,000000000042.jpg,42
28-schupfen,000000000043.jpg,43
28-schupfen,000000000044.jpg,44
28-schupfen,000000000045.jpg,45
28-schupfen,000000000046.jpg,46
28-schupfen,000000000047.jpg,47
28-schupfen,000000000048.jpg,48
28-schupfen,000000000049.jpg,49
28-schupfen,000000000050.jpg,50
28-schupfen,000000000051.jpg,51
28-schupfen,000000000052.jpg,52
28-schupfen,000000000053.jpg,53
28-schupfen,000000000054.jpg,54
28-schupfen,000000000055.jpg,55
28-schupfen,000000000056.jpg,56
28-schupfen,000000000057.jpg,57
28-schupfen,000000000058.jpg,58
28-schupfen,000000000059.jpg,59
28-schupfen,000000000060.jpg,60
28-schupfen,000000000061.jpg,61
28-schupfen,000000000062.jpg,62
28-schupfen,000000000063.jpg,63
28-schupfen,000000000064.jpg,64
28-schupfen,000000000065.jpg,65
28-schupfen,000000000066.jpg,66
28-schupfen,000000000067.jpg,67
28-schupfen,000000000068.jpg,68
28-schupfen,000000000069.jpg,69
28-schupfen,000000000070.jpg,70
28-schupfen,000000000071.jpg,71
