URLID,URL,TagID,Tag,Start,End,Time,State
28-schupfen,28-schupfen,0,normal,0,0,1,1
28-schupfen,28-schupfen,0,normal,1,1,1,1
28-schupfen,28-schupfen,0,normal,2,2,1,1
28-schupfen,28-schupfen,0,normal,3,3,1,1
28-schupfen,28-schupfen,0,normal,4,4,1,1
28-schupfen,28-schupfen,0,normal,5,5,1,1
28-schupfen,28-schupfen,1,anomaly,6,6,1,1
28-schupfen,28-schupfen,1,anomaly,7,7,1,1
28-schupfen,28-schupfen,1,anomaly,8,8,1,1
28-schupfen,28-schupfen,1,anomaly,9,9,1,1
28-schupfen,28-schupfen,1,anomaly,10,10,1,1
28-schupfen,28-schupfen,1,anomaly,11,11,1,1
28-schupfen,28-schupfen,1,anomaly,12,12,1,1
28-schupfen,28-schupfen,1,anomaly,13,13,1,1
28-schupfen,28-schupfen,1,anomaly,14,14,1,1
28-schupfen,28-schupfen,1,anomaly,15,15,1,1
28-schupfen,28-schupfen,1,anomaly,16,16,1,1
28-schupfen,28-schupfen,1,anomaly,17,17,1,1
28-schupfen,28-schupfen,0,normal,18,18,1,1
28-schupfen,28-schupfen,0,normal,19,19,1,1
28-schupfen,28-schupfen,0,normal,20,20,1,1
28-schupfen,28-schupfen,0,normal,21,21,1,1
28-schupfen,28-schupfen,0,normal,22,22,1,1
28-schupfen,28-schupfen,0,normal,23,23,1,1
28-schupfen,28-schupfen,0,normal,24,24,1,1
28-schupfen,28-schupfen,0,normal,25,25,1,1
28-schupfen,28-schupfen,0,normal,26,26,1,1
28-schupfen,28-schupfen,0,normal,27,27,1,1
28-schupfen,28-schupfen,0,normal,28,28,1,1
28-schupfen,28-schupfen,0,normal,29,29,1,1
28-schupfen,28-schupfen,0,normal,30,30,1,1
28-schupfen,28-schupfen,0,normal,31,31,1,1
28-schupfen,28-schupfen,0,normal,32,32,1,1
28-schupfen,28-schupfen,0,normal,33,33,1,1
28-schupfen,28-schupfen,0,normal,34,34,1,1
28-schupfen,28-schupfen,0,normal,35,35,1,1
28-schupfen,28-schupfen,0,normal,36,36,1,1
28-schupfen,28-schupfen,0,normal,37,37,1,1
28-schupfen,28-schupfen,0,normal,38,38,1,1
28-schupfen,28-schupfen,0,normal,39,39,1,1
28-schupfen,28-schupfen,0,normal,40,40,1,1
28-schupfen,28-schupfen,0,normal,41,41,1,1
28-schupfen,28-schupfen,0,normal,42,42,1,1
28-schupfen,28-schupfen,0,normal,43,43,1,1
28-schupfen,28-schupfen,0,normal,44,44,1,1
28-schupfen,28-schupfen,1,anomaly,45,45,1,1
28-schupfen,28-schupfen,1,anomaly,46,46,1,1
28-schupfen,28-schupfen,1,anomaly,47,47,1,1
28-schupfen,28-schupfen,1,anomaly,48,48,1,1
28-schupfen,28-schupfen,1,anomaly,49,49,1,1
28-schupfen,28-schupfen,0,normal,50,50,1,1
28-schupfen,28-schupfen,0,normal,51,51,1,1
28-schupfen,28-schupfen,0,normal,52,52,1,1
28-schupfen,28-schupfen,0,normal,53,53,1,1
28-schupfen,28-schupfen,0,normal,54,54,1,1
28-schupfen,28-schupfen,0,normal,55,55,1,1
28-schupfen,28-schupfen,0,normal,56,56,1,1
28-schupfen,28-schupfen,0,normal,57,57,1,1
28-schupfen,28-schupfen,0,normal,58,58,1,1
28-schupfen,28-schupfen,0,normal,59,59,1,1
28-schupfen,28-schupfen,0,normal,60,60,1,1
28-schupfen,28-schupfen,0,normal,61,61,1,1
28-schupfen,28-schupfen,0,normal,62,62,1,1
28-schupfen,28-schupfen,0,normal,63,63,1,1
28-schupfen,28-schupfen,0,normal,64,64,1,1
28-schupfen,28-schupfen,0,normal,65,65,1,1
28-schupfen,28-schupfen,0,normal,66,66,1,1
28-schupfen,28-schupfen,0,normal,67,67,1,1
28-schupfen,28-schupfen,0,normal,68,68,1,1
28-schupfen,28-schupfen,0,normal,69,69,1,1
28-schupfen,28-schupfen,0,normal,70,70,1,1
28-schupfen,28-schupfen,0,normal,71,71,1,1
28-schupfen,28-schupfen,0,normal,72,72,1,1
28-schupfen,28-schupfen,0,normal,73,73,1,1
28-schupfen,28-schupfen,0,normal,74,74,1,1
28-schupfen,28-schupfen,0,normal,75,75,1,1
28-schupfen,28-schupfen,0,normal,76,76,1,1
28-schupfen,28-schupfen,0,normal,77,77,1,1
28-schupfen,28-schupfen,0,normal,78,78,1,1
28-schupfen,28-schupfen,0,normal,79,79,1,1
28-schupfen,28-schupfen,0,normal,80,80,1,1
28-schupfen,28-schupfen,0,normal,81,81,1,1
