URLID,Frame,Time
00-calibration,00000.jpg,0.0
00-calibration,00001.jpg,0.5
00-calibration,00002.jpg,1.0
00-calibration,00003.jpg,1.5
00-calibration,00004.jpg,2.0
00-calibration,00005.jpg,2.5
00-calibration,00006.jpg,3.0
00-calibration,00007.jpg,3.5
00-calibration,00008.jpg,4.0
00-calibration,00009.jpg,4.5
00-calibration,00010.jpg,5.0
00-calibration,00011.jpg,5.5
00-calibration,00012.jpg,6.0
00-calibration,00013.jpg,6.5
00-calibration,00014.jpg,7.0
00-calibration,00015.jpg,7.5
00-calibration,00016.jpg,8.0
00-calibration,00017.jpg,8.5
00-calibration,00018.jpg,9.0
00-calibration,00019.jpg,9.5
00-calibration,00020.jpg,10.0
00-calibration,00021.jpg,10.5
00-calibration,00022.jpg,11.0
00-calibration,00023.jpg,11.5
00-calibration,00024.jpg,12.0
00-calibration,00025.jpg,12.5
00-calibration,00026.jpg,13.0
00-calibration,00027.jpg,13.5
00-calibration,00028.jpg,14.0
00-calibration,00029.jpg,14.5
00-calibration,00030.jpg,15.0
00-calibration,00031.jpg,15.5
00-calibration,00032.jpg,16.0
00-calibration,00033.jpg,16.5
00-calibration,00034.jpg,17.0
00-calibration,00035.jpg,17.5
00-calibration,00036.jpg,18.0
00-calibration,00037.jpg,18.5
00-calibration,00038.jpg,19.0
00-calibration,00039.jpg,19.5
00-calibration,00040.jpg,20.0
00-calibration,00041.jpg,20.5
00-calibration,00042.jpg,21.0
00-calibration,00043.jpg,21.5
00-calibration,00044.jpg,22.0
00-calibration,00045.jpg,22.5
00-calibration,00046.jpg,23.0
00-calibration,00047.jpg,23.5
00-calibration,00048.jpg,24.0
00-calibration,00049.jpg,24.5
00-calibration,00050.jpg,25.0
